Staat,Bevoelkerung,Ufo-Sichtungen,Ufo-Sichtungen pro 10.000 Einwohner,Durchschnittlicher SAT-Score,Durchschnittlicher ACT-Score
AL,4557808,753,1.65211,976,21
AK,663661,0,0.0,757,16
AZ,5939292,2923,4.9214616,1067,23
AR,2779154,723,2.601511,962,20
CA,36132147,10399,2.8780463,1101,24
CO,4665177,1619,3.4703934,988,20
CT,3510297,1054,3.002595,1041,23
DE,843524,196,2.3235853,829,17
DC,550521,114,2.0707657,1162,25
FL,17789864,4505,2.5323408,1138,25
GA,9072576,1465,1.6147563,1178,25
HI,1275194,1,0.007841944,991,21
ID,1429096,601,4.205456,1016,22
IL,12763371,2864,2.2439213,1050,23
IN,6271973,1502,2.3947806,1183,26
IA,2966334,766,2.582312,1039,22
KS,2744687,697,2.5394518,977,20
KY,4173405,993,2.379352,1015,22
LA,4523628,640,1.4147936,1105,24
ME,1321505,681,5.1532154,983,21
MT,935670,565,6.038454,1001,21
NE,1758787,439,2.4960384,1015,21
NV,2414807,973,4.0293074,902,20
NH,1309940,570,4.351344,995,21
NJ,8717925,1631,1.870858,1078,26
NM,1928384,904,4.687863,990,21
NY,19254630,3491,1.8130704,1187,26
NC,8683242,2005,2.3090453,993,21
ND,636677,148,2.3245697,976,21
OH,11464042,2627,2.291513,1021,22
OK,3547884,825,2.3253298,1138,25
OR,3641056,1987,5.457208,1059,23
MD,5600388,971,1.7338085,1059,23
MA,6398743,1457,2.2770097,1314,29
MI,10120860,2245,2.218191,1024,21
MN,5132799,1172,2.2833545,1079,23
MS,2921088,456,1.5610622,994,21
MO,5800310,1706,2.941222,1060,23
PA,12429616,2763,2.2229166,1016,22
RI,1076189,310,2.8805351,1110,24
SC,4255083,1165,2.737902,1066,23
SD,775933,214,2.75797,1054,23
TN,5962959,1305,2.188511,1093,23
TX,22859968,3998,1.7489089,1035,23
UT,2469585,792,3.2070165,1087,24
VT,623050,332,5.3286257,1116,24
VA,7567465,1509,1.9940628,1167,26
WA,6287759,4621,7.3492002,1139,24
WV,1816856,535,2.9446473,1034,22
WI,5536201,1419,2.5631294,1061,23
WY,509294,221,4.33934,561,12
